Arrival Rate, Service Time, Number to Serve, Utilization, Fraction Served, Mean Number in System, Mean Delay

Step 2
0.010000, 10, 50000000.000000, 0.100005, 1.000000, 0.105562, 10.555754
0.020000, 10, 50000000.000000, 0.200009, 1.000000, 0.225009, 11.249931
0.030000, 10, 50000000.000000, 0.300014, 1.000000, 0.364292, 12.142521
0.040000, 10, 50000000.000000, 0.400018, 1.000000, 0.533332, 13.332699
0.050000, 10, 50000000.000000, 0.500023, 1.000000, 0.749999, 14.999302
0.060000, 10, 50000000.000000, 0.600027, 1.000000, 1.050033, 17.499764
0.070000, 10, 50000000.000000, 0.700031, 1.000000, 1.516826, 21.667968
0.080000, 10, 50000000.000000, 0.800036, 1.000000, 2.400519, 30.005138
0.090000, 10, 50000000.000000, 0.900040, 1.000000, 4.949945, 54.996921

Step 3
1.100000, 10, 10000.000000, 1.000000, 0.091162, 49881.893909, 498818.939091
1.100000, 10, 20000.000000, 1.000000, 0.090766, 100002.383664, 1000023.836641
1.100000, 10, 30000.000000, 1.000000, 0.090868, 150100.557633, 1501005.576333
1.100000, 10, 40000.000000, 1.000000, 0.090777, 200132.241392, 2001322.413915
1.100000, 10, 50000.000000, 1.000000, 0.090836, 250209.864564, 2502098.645640
1.100000, 10, 60000.000000, 1.000000, 0.090820, 300260.954528, 3002609.545283

Step 4
0.010000, 30, 50000000.000000, 0.300014, 1.000000, 0.364292, 36.427562
0.040000, 30, 50000000.000000, 1.000000, 0.833320, 5001457.148729, 150043722.098386
0.070000, 30, 50000000.000000, 1.000000, 0.476209, 27499659.614297, 824989788.428906
0.110000, 30, 50000000.000000, 1.000000, 0.303050, 57497276.774610, 1724918303.238300
0.140000, 30, 50000000.000000, 1.000000, 0.238108, 79996155.939325, 2399884678.179760
0.170000, 30, 50000000.000000, 1.000000, 0.196080, 102495235.615813, 3074857068.474387
0.200000, 30, 50000000.000000, 1.000000, 0.166668, 124995768.791418, 3749873063.742543
0.230000, 30, 50000000.000000, 1.000000, 0.144930, 147495858.478400, 4424875754.351995
0.260000, 30, 50000000.000000, 1.000000, 0.128206, 169995522.627232, 5099865678.816961
0.290000, 30, 50000000.000000, 1.000000, 0.114943, 192495722.494245, 5774871674.827357
